Err?=(aucune)/besoin |/:Err?=(aucune)/besoin:Réinstallation:(État,Err::majuscule=mauvais) 
Nom ||/:Nom:Version:Architecture:Description 
libproxy1-plugin-webkit:amd64 ii:libproxy1-plugin-webkit:amd64:0.4.17-1:amd64:automatic:proxy:configuration:management:library:(Webkit:plugin) 0.4.171
libproxy1v5:amd64 ii:libproxy1v5:amd64:0.4.17-1:amd64:automatic:proxy:configuration:management:library:(shared) 0.4.171
libpsl5:amd64 ii:libpsl5:amd64:0.21.0-1.2:amd64:Library:for:Public:Suffix:List:(shared:libraries) 0.21.01.2
libpst4:amd64 ii:libpst4:amd64:0.6.75-1:amd64:library:for:reading:Microsoft:Outlook:PST:files 0.6.751
libpulse-mainloop-glib0:amd64 ii:libpulse-mainloop-glib0:amd64:14.2-2:amd64:PulseAudio:client:libraries:(glib:support) 14.22
libpulse0:amd64 ii:libpulse0:amd64:14.2-2:amd64:PulseAudio:client:libraries 14.22
libpulsedsp:amd64 ii:libpulsedsp:amd64:14.2-2:amd64:PulseAudio:OSS:pre-load:library 14.22
libpwquality-common ii:libpwquality-common:1.4.4-1:all:library:for:password:quality:checking:and:generation:(data:files) 1.4.41
libpwquality1:amd64 ii:libpwquality1:amd64:1.4.4-1:amd64:library:for:password:quality:checking:and:generation 1.4.41
libpython3-dev:amd64 ii:libpython3-dev:amd64:3.9.2-3:amd64:header:files:and:a:static:library:for:Python:(default) 3.9.23
libpython3-stdlib:amd64 ii:libpython3-stdlib:amd64:3.9.2-3:amd64:interactive:high-level:object-oriented:language:(default:python3:version) 3.9.23
libpython3.9:amd64 ii:libpython3.9:amd64:3.9.2-1:amd64:Shared:Python:runtime:library:(version:3.9) 3.9.21
libpython3.9-dev:amd64 ii:libpython3.9-dev:amd64:3.9.2-1:amd64:Header:files:and:a:static:library:for:Python:(v3.9) 3.9.21
libpython3.9-minimal:amd64 ii:libpython3.9-minimal:amd64:3.9.2-1:amd64:Minimal:subset:of:the:Python:language:(version:3.9) 3.9.21
libpython3.9-stdlib:amd64 ii:libpython3.9-stdlib:amd64:3.9.2-1:amd64:Interactive:high-level:object-oriented:language:(standard:library,:version:3.9) 3.9.21
libpython3.9-testsuite ii:libpython3.9-testsuite:3.9.2-1:all:Testsuite:for:the:Python:standard:library:(v3.9) 3.9.21
libqmi-glib5:amd64 ii:libqmi-glib5:amd64:1.26.10-0.1:amd64:Support:library:to:use:the:Qualcomm:MSM:Interface:(QMI):protocol 1.26.100.1
libqmi-proxy ii:libqmi-proxy:1.26.10-0.1:amd64:Proxy:to:communicate:with:QMI:ports 1.26.100.1
libqpdf28:amd64 ii:libqpdf28:amd64:10.1.0-1:amd64:runtime:library:for:PDF:transformation/inspection:software 10.1.01
libqqwing2v5:amd64 ii:libqqwing2v5:amd64:1.3.4-1.1+b1:amd64:tool:for:generating:and:solving:Sudoku:puzzles:(library) 1.3.41.1
libqrcodegencpp1:amd64 ii:libqrcodegencpp1:amd64:1.6.0-1:amd64:QR:Code:generator:library:in:multiple:languages:-:C++:version 1.6.01
libqt5core5a:amd64 ii:libqt5core5a:amd64:5.15.2+dfsg-9:amd64:Qt:5:core:module 5.15.2
libqt5dbus5:amd64 ii:libqt5dbus5:amd64:5.15.2+dfsg-9:amd64:Qt:5:D-Bus:module 5.15.2
libqt5designer5:amd64 ii:libqt5designer5:amd64:5.15.2-5:amd64:Qt:5:designer:module 5.15.25
libqt5gui5:amd64 ii:libqt5gui5:amd64:5.15.2+dfsg-9:amd64:Qt:5:GUI:module 5.15.2
libqt5help5:amd64 ii:libqt5help5:amd64:5.15.2-5:amd64:Qt:5:help:module 5.15.25
libqt5network5:amd64 ii:libqt5network5:amd64:5.15.2+dfsg-9:amd64:Qt:5:network:module 5.15.2
libqt5printsupport5:amd64 ii:libqt5printsupport5:amd64:5.15.2+dfsg-9:amd64:Qt:5:print:support:module 5.15.2
libqt5sql5:amd64 ii:libqt5sql5:amd64:5.15.2+dfsg-9:amd64:Qt:5:SQL:module 5.15.2
libqt5sql5-sqlite:amd64 ii:libqt5sql5-sqlite:amd64:5.15.2+dfsg-9:amd64:Qt:5:SQLite:3:database:driver 5.15.2
libqt5svg5:amd64 ii:libqt5svg5:amd64:5.15.2-3:amd64:Qt:5:SVG:module 5.15.23
libqt5test5:amd64 ii:libqt5test5:amd64:5.15.2+dfsg-9:amd64:Qt:5:test:module 5.15.2
libqt5widgets5:amd64 ii:libqt5widgets5:amd64:5.15.2+dfsg-9:amd64:Qt:5:widgets:module 5.15.2
libqt5xml5:amd64 ii:libqt5xml5:amd64:5.15.2+dfsg-9:amd64:Qt:5:XML:module 5.15.2
libquadmath0:amd64 ii:libquadmath0:amd64:10.2.1-6:amd64:GCC:Quad-Precision:Math:Library 10.2.16
libquvi-0.9-0.9.3:amd64 ii:libquvi-0.9-0.9.3:amd64:0.9.3-1.3:amd64:library:for:parsing:video:download:links:(runtime:libraries) 0.9.31.3
libquvi-scripts-0.9 ii:libquvi-scripts-0.9:0.9.20131130-1.2:all:library:for:parsing:video:download:links:(Lua:scripts) 0.9.201311301.2
libqxp-0.0-0 ii:libqxp-0.0-0:0.0.2-1+b1:amd64:library:for:reading:and:converting:QuarkXPress:files 0.0.21
librabbitmq4:amd64 ii:librabbitmq4:amd64:0.10.0-1:amd64:AMQP:client:library:written:in:C 0.10.01
libraptor2-0:amd64 ii:libraptor2-0:amd64:2.0.14-1.2:amd64:Raptor:2:RDF:syntax:library 2.0.141.2
librasqal3:amd64 ii:librasqal3:amd64:0.9.33-0.1:amd64:Rasqal:RDF:query:library 0.9.330.1
libraw1394-11:amd64 ii:libraw1394-11:amd64:2.1.2-2:amd64:library:for:direct:access:to:IEEE:1394:bus:(aka:FireWire) 2.1.22
libraw20:amd64 ii:libraw20:amd64:0.20.2-1:amd64:raw:image:decoder:library 0.20.21
librdf0:amd64 ii:librdf0:amd64:1.0.17-1.1+b1:amd64:Redland:Resource:Description:Framework:(RDF):library 1.0.171.1
libreadline8:amd64 ii:libreadline8:amd64:8.1-1:amd64:GNU:readline:and:history:libraries,:run-time:libraries 8.11
libreoffice-base-core ii:libreoffice-base-core:1:7.0.4-4+deb11u4:amd64:office:productivity:suite:--:shared:library 17.0.44
libreoffice-calc ii:libreoffice-calc:1:7.0.4-4+deb11u4:amd64:office:productivity:suite:--:spreadsheet 17.0.44
libreoffice-common ii:libreoffice-common:1:7.0.4-4+deb11u4:all:office:productivity:suite:--:arch-independent:files 17.0.44
libreoffice-core ii:libreoffice-core:1:7.0.4-4+deb11u4:amd64:office:productivity:suite:--:arch-dependent:files 17.0.44
libreoffice-draw ii:libreoffice-draw:1:7.0.4-4+deb11u4:amd64:office:productivity:suite:--:drawing 17.0.44
libreoffice-gnome ii:libreoffice-gnome:1:7.0.4-4+deb11u4:amd64:office:productivity:suite:--:GNOME:integration 17.0.44
libreoffice-gtk3 ii:libreoffice-gtk3:1:7.0.4-4+deb11u4:amd64:office:productivity:suite:--:GTK+:3:integration 17.0.44
libreoffice-help-common ii:libreoffice-help-common:1:7.0.4-4+deb11u4:all:office:productivity:suite:--:common:files:for:LibreOffice:help 17.0.44
libreoffice-help-en-us ii:libreoffice-help-en-us:1:7.0.4-4+deb11u4:all:office:productivity:suite:--:English_american:help 17.0.44
libreoffice-help-fr ii:libreoffice-help-fr:1:7.0.4-4+deb11u4:all:office:productivity:suite:--:French:help 17.0.44
libreoffice-impress ii:libreoffice-impress:1:7.0.4-4+deb11u4:amd64:office:productivity:suite:--:presentation 17.0.44
libreoffice-l10n-fr ii:libreoffice-l10n-fr:1:7.0.4-4+deb11u4:all:office:productivity:suite:--:French:language:package 17.0.44
libreoffice-math ii:libreoffice-math:1:7.0.4-4+deb11u4:amd64:office:productivity:suite:--:equation:editor 17.0.44
libreoffice-style-colibre ii:libreoffice-style-colibre:1:7.0.4-4+deb11u4:all:office:productivity:suite:--:colibre:symbol:style 17.0.44
libreoffice-style-elementary ii:libreoffice-style-elementary:1:7.0.4-4+deb11u4:all:office:productivity:suite:--:Elementary:symbol:style 17.0.44
libreoffice-writer ii:libreoffice-writer:1:7.0.4-4+deb11u4:amd64:office:productivity:suite:--:word:processor 17.0.44
libreofficekit-data ii:libreofficekit-data:1:7.0.4-4+deb11u4:all:common:data:for:LOKDocView 17.0.44
librest-0.7-0:amd64 ii:librest-0.7-0:amd64:0.8.1-1.1:amd64:REST:service:access:library 0.8.11.1
librevenge-0.0-0:amd64 ii:librevenge-0.0-0:amd64:0.0.4-6+b1:amd64:Base:Library:for:writing:document:interface:filters 0.0.46
librhythmbox-core10:amd64 ii:librhythmbox-core10:amd64:3.4.4-4:amd64:support:library:for:the:rhythmbox:music:player 3.4.44
libridl-java ii:libridl-java:1:7.0.4-4+deb11u4:all:LibreOffice:UNO:runtime:environment:--:Java:Uno:runtime:and:base:types:and:types:access:library:(compatibility:library) 17.0.44
librsvg2-2:amd64 ii:librsvg2-2:amd64:2.50.3+dfsg-1:amd64:SAX-based:renderer:library:for:SVG:files:(runtime) 2.50.3
librsvg2-common:amd64 ii:librsvg2-common:amd64:2.50.3+dfsg-1:amd64:SAX-based:renderer:library:for:SVG:files:(extra:runtime) 2.50.3
librtmp1:amd64 ii:librtmp1:amd64:2.4+20151223.gitfa8646d.1-2+b2:amd64:toolkit:for:RTMP:streams:(shared:library) 2.4
librubberband2:amd64 ii:librubberband2:amd64:1.9.0-1:amd64:audio:time-stretching:and:pitch-shifting:library 1.9.01
librygel-core-2.6-2:amd64 ii:librygel-core-2.6-2:amd64:0.40.0-1:amd64:GNOME:UPnP/DLNA:services:-:core:library 0.40.01
librygel-db-2.6-2:amd64 ii:librygel-db-2.6-2:amd64:0.40.0-1:amd64:GNOME:UPnP/DLNA:services:-:db:library 0.40.01
librygel-renderer-2.6-2:amd64 ii:librygel-renderer-2.6-2:amd64:0.40.0-1:amd64:GNOME:UPnP/DLNA:services:-:renderer:library 0.40.01
librygel-renderer-gst-2.6-2:amd64 ii:librygel-renderer-gst-2.6-2:amd64:0.40.0-1:amd64:GNOME:UPnP/DLNA:services:-:renderer:library 0.40.01
librygel-server-2.6-2:amd64 ii:librygel-server-2.6-2:amd64:0.40.0-1:amd64:GNOME:UPnP/DLNA:services:-:server:library 0.40.01
libsamplerate0:amd64 ii:libsamplerate0:amd64:0.2.1+ds0-1:amd64:Audio:sample:rate:conversion:library 0.2.1
libsane-common ii:libsane-common:1.0.31-4.1:all:API:library:for:scanners:--:documentation:and:support:files 1.0.314.1
libsane1:amd64 ii:libsane1:amd64:1.0.31-4.1:amd64:API:library:for:scanners 1.0.314.1
libsasl2-2:amd64 ii:libsasl2-2:amd64:2.1.27+dfsg-2.1+deb11u1:amd64:Cyrus:SASL:-:authentication:abstraction:library 2.1.27
libsasl2-modules:amd64 ii:libsasl2-modules:amd64:2.1.27+dfsg-2.1+deb11u1:amd64:Cyrus:SASL:-:pluggable:authentication:modules 2.1.27
libsasl2-modules-db:amd64 ii:libsasl2-modules-db:amd64:2.1.27+dfsg-2.1+deb11u1:amd64:Cyrus:SASL:-:pluggable:authentication:modules:(DB) 2.1.27
libsbc1:amd64 ii:libsbc1:amd64:1.5-3:amd64:Sub:Band:CODEC:library:-:runtime 1.53
libsdl2-2.0-0:amd64 ii:libsdl2-2.0-0:amd64:2.0.14+dfsg2-3+deb11u1:amd64:Simple:DirectMedia:Layer 2.0.14
libseccomp2:amd64 ii:libseccomp2:amd64:2.5.1-1+deb11u1:amd64:high:level:interface:to:Linux:seccomp:filter 2.5.11
libsecret-1-0:amd64 ii:libsecret-1-0:amd64:0.20.4-2:amd64:Secret:store 0.20.42
libsecret-common ii:libsecret-common:0.20.4-2:all:Secret:store:(common:files) 0.20.42
libselinux1:amd64 ii:libselinux1:amd64:3.1-3:amd64:SELinux:runtime:shared:libraries 3.13
libsemanage-common ii:libsemanage-common:3.1-1:all:Common:files:for:SELinux:policy:management:libraries 3.11
libsemanage1:amd64 ii:libsemanage1:amd64:3.1-1+b2:amd64:SELinux:policy:management:library 3.11
libsensors-config ii:libsensors-config:1:3.6.0-7:all:lm-sensors:configuration:files 13.6.07
libsensors5:amd64 ii:libsensors5:amd64:1:3.6.0-7:amd64:library:to:read:temperature/voltage/fan:sensors 13.6.07
libsepol1:amd64 ii:libsepol1:amd64:3.1-1:amd64:SELinux:library:for:manipulating:binary:security:policies 3.11
libserd-0-0:amd64 ii:libserd-0-0:amd64:0.30.10-2:amd64:lightweight:RDF:syntax:library 0.30.102
libsgutils2-2 ii:libsgutils2-2:1.45-1:amd64:utilities:for:devices:using:the:SCSI:command:set:(shared:libraries) 1.451
libshine3:amd64 ii:libshine3:amd64:3.1.1-2:amd64:Fixed-point:MP3:encoding:library:-:runtime:files 3.1.12
libshout3:amd64 ii:libshout3:amd64:2.4.5-1+b1:amd64:MP3/Ogg:Vorbis:broadcast:streaming:library 2.4.51
libsidplay1v5:amd64 ii:libsidplay1v5:amd64:1.36.60-1:amd64:SID:(MOS:6581):emulation:library 1.36.601
libsigc++-2.0-0v5:amd64 ii:libsigc++-2.0-0v5:amd64:2.10.4-2:amd64:type-safe:Signal:Framework:for:C++:-:runtime 2.10.42
libslang2:amd64 ii:libslang2:amd64:2.3.2-5:amd64:S-Lang:programming:library:-:runtime:version 2.3.25
libsm6:amd64 ii:libsm6:amd64:2:1.2.3-1:amd64:X11:Session:Management:library 21.2.31
libsmartcols1:amd64 ii:libsmartcols1:amd64:2.36.1-8+deb11u1:amd64:smart:column:output:alignment:library 2.36.18
libsmbclient:amd64 ii:libsmbclient:amd64:2:4.13.13+dfsg-1~deb11u5:amd64:shared:library:for:communication:with:SMB/CIFS:servers 24.13.13
libsmbios-c2 ii:libsmbios-c2:2.4.3-1:amd64:Provide:access:to:(SM)BIOS:information:--:dynamic:library 2.4.31
libsnappy1v5:amd64 ii:libsnappy1v5:amd64:1.1.8-1:amd64:fast:compression/decompression:library 1.1.81
libsndfile1:amd64 ii:libsndfile1:amd64:1.0.31-2:amd64:Library:for:reading/writing:audio:files 1.0.312
libsndio7.0:amd64 ii:libsndio7.0:amd64:1.5.0-3:amd64:Small:audio:and:MIDI:framework:from:OpenBSD,:runtime:libraries 1.5.03
libsnmp-base ii:libsnmp-base:5.9+dfsg-4+deb11u1:all:SNMP:configuration:script,:MIBs:and:documentation 5.9
libsnmp40:amd64 ii:libsnmp40:amd64:5.9+dfsg-4+deb11u1:amd64:SNMP:(Simple:Network:Management:Protocol):library 5.9
libsodium23:amd64 ii:libsodium23:amd64:1.0.18-1:amd64:Network:communication,:cryptography:and:signaturing:library 1.0.181
libsonic0:amd64 ii:libsonic0:amd64:0.2.0-10:amd64:Simple:library:to:speed:up:or:slow:down:speech 0.2.010
libsord-0-0:amd64 ii:libsord-0-0:amd64:0.16.8-2:amd64:library:for:storing:RDF:data:in:memory 0.16.82
libsoundtouch1:amd64 ii:libsoundtouch1:amd64:2.2+ds1-2:amd64:Sound:stretching:library 2.2
libsoup-gnome2.4-1:amd64 ii:libsoup-gnome2.4-1:amd64:2.72.0-2:amd64:HTTP:library:implementation:in:C:--:GNOME:support:library 2.72.02
libsoup2.4-1:amd64 ii:libsoup2.4-1:amd64:2.72.0-2:amd64:HTTP:library:implementation:in:C:--:Shared:library 2.72.02
libsoxr0:amd64 ii:libsoxr0:amd64:0.1.3-4:amd64:High:quality:1D:sample-rate:conversion:library 0.1.34
libspa-0.2-modules:amd64 ii:libspa-0.2-modules:amd64:0.3.19-4:amd64:libraries:for:the:PipeWire:multimedia:server:Simple:Plugin:API:-:modules 0.3.194
libspandsp2:amd64 ii:libspandsp2:amd64:0.0.6+dfsg-2:amd64:Telephony:signal:processing:library 0.0.6
libspectre1:amd64 ii:libspectre1:amd64:0.2.9-1:amd64:Library:for:rendering:PostScript:documents 0.2.91
libspeechd2:amd64 ii:libspeechd2:amd64:0.10.2-2+deb11u2:amd64:Speech:Dispatcher::Shared:libraries 0.10.22
libspeex1:amd64 ii:libspeex1:amd64:1.2~rc1.2-1.1:amd64:The:Speex:codec:runtime:library 1.21.21.1
libspeexdsp1:amd64 ii:libspeexdsp1:amd64:1.2~rc1.2-1.1:amd64:The:Speex:extended:runtime:library 1.21.21.1
libsphinxbase3:amd64 ii:libsphinxbase3:amd64:0.8+5prealpha+1-12:amd64:Speech:recognition:tool:-:shared:library 0.8
libsqlite3-0:amd64 ii:libsqlite3-0:amd64:3.34.1-3:amd64:SQLite:3:shared:library 3.34.13
libsratom-0-0:amd64 ii:libsratom-0-0:amd64:0.6.8-1:amd64:library:for:serialising:LV2:atoms:to/from:Turtle 0.6.81
libsrt1.4-gnutls:amd64 ii:libsrt1.4-gnutls:amd64:1.4.2-1.3:amd64:Secure:Reliable:Transport:UDP:streaming:library:(GnuTLS:flavour) 1.4.21.3
libsrtp2-1:amd64 ii:libsrtp2-1:amd64:2.3.0-5:amd64:Secure:RTP:(SRTP):and:UST:Reference:Implementations:-:shared:library 2.3.05
libss2:amd64 ii:libss2:amd64:1.46.2-2:amd64:command-line:interface:parsing:library 1.46.22
libssh-gcrypt-4:amd64 ii:libssh-gcrypt-4:amd64:0.9.5-1+deb11u1:amd64:tiny:C:SSH:library:(gcrypt:flavor) 0.9.51
libssh2-1:amd64 ii:libssh2-1:amd64:1.9.0-2:amd64:SSH2:client-side:library 1.9.02
libssl1.1:amd64 ii:libssl1.1:amd64:1.1.1n-0+deb11u4:amd64:Secure:Sockets:Layer:toolkit:-:shared:libraries 1.1.10
libstaroffice-0.0-0:amd64 ii:libstaroffice-0.0-0:amd64:0.0.7-1:amd64:Import:filter:library:to:import:all:StarOffice:documents 0.0.71
libstartup-notification0:amd64 ii:libstartup-notification0:amd64:0.12-6+b1:amd64:library:for:program:launch:feedback:(shared:library) 0.126
libstdc++-10-dev:amd64 ii:libstdc++-10-dev:amd64:10.2.1-6:amd64:GNU:Standard:C++:Library:v3:(development:files) 10.2.16
libstdc++6:amd64 ii:libstdc++6:amd64:10.2.1-6:amd64:GNU:Standard:C++:Library:v3 10.2.16
libstemmer0d:amd64 ii:libstemmer0d:amd64:2.1.0-1:amd64:Snowball:stemming:algorithms:for:use:in:Information:Retrieval 2.1.01
libsuitesparseconfig5:amd64 ii:libsuitesparseconfig5:amd64:1:5.8.1+dfsg-2:amd64:configuration:routines:for:all:SuiteSparse:modules 15.8.1
libswresample3:amd64 ii:libswresample3:amd64:7:4.3.5-0+deb11u1:amd64:FFmpeg:library:for:audio:resampling,:rematrixing:etc.:-:runtime:files 74.3.50
libswscale5:amd64 ii:libswscale5:amd64:7:4.3.5-0+deb11u1:amd64:FFmpeg:library:for:image:scaling:and:various:conversions:-:runtime:files 74.3.50
libsynctex2:amd64 ii:libsynctex2:amd64:2020.20200327.54578-7:amd64:TeX:Live::SyncTeX:parser:library 2020.20200327.545787
libsystemd0:amd64 ii:libsystemd0:amd64:247.3-7+deb11u1:amd64:systemd:utility:library 247.37
libtag1v5:amd64 ii:libtag1v5:amd64:1.11.1+dfsg.1-3:amd64:audio:meta-data:library 1.11.1
libtag1v5-vanilla:amd64 ii:libtag1v5-vanilla:amd64:1.11.1+dfsg.1-3:amd64:audio:meta-data:library:-:vanilla:flavour 1.11.1
libtalloc2:amd64 ii:libtalloc2:amd64:2.3.1-2+b1:amd64:hierarchical:pool:based:memory:allocator 2.3.12
libtasn1-6:amd64 ii:libtasn1-6:amd64:4.16.0-2+deb11u1:amd64:Manage:ASN.1:structures:(runtime) 4.16.02
libtcl8.6:amd64 ii:libtcl8.6:amd64:8.6.11+dfsg-1:amd64:Tcl:(the:Tool:Command:Language):v8.6:-:run-time:library:files 8.6.11
libtdb1:amd64 ii:libtdb1:amd64:1.4.3-1+b1:amd64:Trivial:Database:-:shared:library 1.4.31
libteamdctl0:amd64 ii:libteamdctl0:amd64:1.31-1:amd64:library:for:communication:with:`teamd`:process 1.311
libtepl-5-0:amd64 ii:libtepl-5-0:amd64:5.0.1-2:amd64:Text:editor:library:for:GTK 5.0.12
libtevent0:amd64 ii:libtevent0:amd64:0.10.2-1:amd64:talloc-based:event:loop:library:-:shared:library 0.10.21
libtext-charwidth-perl ii:libtext-charwidth-perl:0.04-10+b1:amd64:get:display:widths:of:characters:on:the:terminal 0.0410
libtext-iconv-perl ii:libtext-iconv-perl:1.7-7+b1:amd64:module:to:convert:between:character:sets:in:Perl 1.77
libtext-wrapi18n-perl ii:libtext-wrapi18n-perl:0.06-9:all:internationalized:substitute:of:Text::Wrap 0.069
libthai-data ii:libthai-data:0.1.28-3:all:Data:files:for:Thai:language:support:library 0.1.283
libthai0:amd64 ii:libthai0:amd64:0.1.28-3:amd64:Thai:language:support:library 0.1.283
libtheora0:amd64 ii:libtheora0:amd64:1.1.1+dfsg.1-15:amd64:Theora:Video:Compression:Codec 1.1.1
libtie-ixhash-perl ii:libtie-ixhash-perl:1.23-2.1:all:Perl:module:to:order:associative:arrays 1.232.1
libtiff5:amd64 ii:libtiff5:amd64:4.2.0-1+deb11u4:amd64:Tag:Image:File:Format:(TIFF):library 4.2.01
libtimedate-perl ii:libtimedate-perl:2.3300-2:all:collection:of:modules:to:manipulate:date/time:information 2.33002
libtinfo6:amd64 ii:libtinfo6:amd64:6.2+20201114-2:amd64:shared:low-level:terminfo:library:for:terminal:handling 6.2
libtirpc-common ii:libtirpc-common:1.3.1-1+deb11u1:all:transport-independent:RPC:library:-:common:files 1.3.11
libtirpc-dev:amd64 ii:libtirpc-dev:amd64:1.3.1-1+deb11u1:amd64:transport-independent:RPC:library:-:development:files 1.3.11
libtirpc3:amd64 ii:libtirpc3:amd64:1.3.1-1+deb11u1:amd64:transport-independent:RPC:library 1.3.11
libtk8.6:amd64 ii:libtk8.6:amd64:8.6.11-2:amd64:Tk:toolkit:for:Tcl:and:X11:v8.6:-:run-time:files 8.6.112
libtotem-plparser-common ii:libtotem-plparser-common:3.26.5-5:all:Totem:Playlist:Parser:library:-:common:files 3.26.55
libtotem-plparser18:amd64 ii:libtotem-plparser18:amd64:3.26.5-5:amd64:Totem:Playlist:Parser:library:-:runtime:files 3.26.55
libtotem0:amd64 ii:libtotem0:amd64:3.38.0-2:amd64:Main:library:for:the:Totem:media:player 3.38.02
libtracker-control-2.0-0:amd64 ii:libtracker-control-2.0-0:amd64:2.3.6-2:amd64:library:to:control/monitor:tracker:miners 2.3.62
libtracker-miner-2.0-0:amd64 ii:libtracker-miner-2.0-0:amd64:2.3.6-2:amd64:tracker:data:miner:library 2.3.62
libtracker-sparql-2.0-0:amd64 ii:libtracker-sparql-2.0-0:amd64:2.3.6-2:amd64:metadata:database,:indexer:and:search:tool:-:library 2.3.62
libtry-tiny-perl ii:libtry-tiny-perl:0.30-1:all:module:providing:minimalistic:try/catch 0.301
libtsan0:amd64 ii:libtsan0:amd64:10.2.1-6:amd64:ThreadSanitizer:--:a:Valgrind-based:detector:of:data:races:(runtime) 10.2.16
libtss2-esys-3.0.2-0:amd64 ii:libtss2-esys-3.0.2-0:amd64:3.0.3-2:amd64:TPM2:Software:stack:library:-:TSS:and:TCTI:libraries 3.0.32
libtss2-mu0:amd64 ii:libtss2-mu0:amd64:3.0.3-2:amd64:TPM2:Software:stack:library:-:TSS:and:TCTI:libraries 3.0.32
libtss2-sys1:amd64 ii:libtss2-sys1:amd64:3.0.3-2:amd64:TPM2:Software:stack:library:-:TSS:and:TCTI:libraries 3.0.32
libtss2-tcti-cmd0:amd64 ii:libtss2-tcti-cmd0:amd64:3.0.3-2:amd64:TPM2:Software:stack:library:-:TSS:and:TCTI:libraries 3.0.32
libtss2-tcti-device0:amd64 ii:libtss2-tcti-device0:amd64:3.0.3-2:amd64:TPM2:Software:stack:library:-:TSS:and:TCTI:libraries 3.0.32
libtss2-tcti-mssim0:amd64 ii:libtss2-tcti-mssim0:amd64:3.0.3-2:amd64:TPM2:Software:stack:library:-:TSS:and:TCTI:libraries 3.0.32
libtss2-tcti-swtpm0:amd64 ii:libtss2-tcti-swtpm0:amd64:3.0.3-2:amd64:TPM2:Software:stack:library:-:TSS:and:TCTI:libraries 3.0.32
libtwolame0:amd64 ii:libtwolame0:amd64:0.4.0-2:amd64:MPEG:Audio:Layer:2:encoding:library 0.4.02
libubsan1:amd64 ii:libubsan1:amd64:10.2.1-6:amd64:UBSan:--:undefined:behaviour:sanitizer:(runtime) 10.2.16
libuchardet0:amd64 ii:libuchardet0:amd64:0.0.7-1:amd64:universal:charset:detection:library:-:shared:library 0.0.71
libudev1:amd64 ii:libudev1:amd64:247.3-7+deb11u1:amd64:libudev:shared:library 247.37
libudfread0:amd64 ii:libudfread0:amd64:1.1.1-1:amd64:UDF:reader:library 1.1.11
libudisks2-0:amd64 ii:libudisks2-0:amd64:2.9.2-2+deb11u1:amd64:GObject:based:library:to:access:udisks2 2.9.22
libunistring2:amd64 ii:libunistring2:amd64:0.9.10-4:amd64:Unicode:string:library:for:C 0.9.104
libunity-protocol-private0:amd64 ii:libunity-protocol-private0:amd64:7.1.4+19.04.20190319-5:amd64:binding:to:get:places:into:the:launcher:-:private:library 7.1.4
libunity-scopes-json-def-desktop ii:libunity-scopes-json-def-desktop:7.1.4+19.04.20190319-5:all:binding:to:get:places:into:the:launcher:-:desktop:def:file 7.1.4
libunity9:amd64 ii:libunity9:amd64:7.1.4+19.04.20190319-5:amd64:binding:to:get:places:into:the:launcher:-:shared:library 7.1.4
libuno-cppu3 ii:libuno-cppu3:1:7.0.4-4+deb11u4:amd64:LibreOffice:UNO:runtime:environment:--:CPPU:public:library 17.0.44
libuno-cppuhelpergcc3-3 ii:libuno-cppuhelpergcc3-3:1:7.0.4-4+deb11u4:amd64:LibreOffice:UNO:runtime:environment:--:CPPU:helper:library 17.0.44
libuno-purpenvhelpergcc3-3 ii:libuno-purpenvhelpergcc3-3:1:7.0.4-4+deb11u4:amd64:LibreOffice:UNO:runtime:environment:--:"purpose:environment":helper 17.0.44
libuno-sal3 ii:libuno-sal3:1:7.0.4-4+deb11u4:amd64:LibreOffice:UNO:runtime:environment:--:SAL:public:library 17.0.44
libuno-salhelpergcc3-3 ii:libuno-salhelpergcc3-3:1:7.0.4-4+deb11u4:amd64:LibreOffice:UNO:runtime:environment:--:SAL:helpers:for:C++:library 17.0.44
libunoloader-java ii:libunoloader-java:1:7.0.4-4+deb11u4:all:LibreOffice:UNO:runtime:environment:--:(Java):UNO:loader 17.0.44
libunwind8:amd64 ii:libunwind8:amd64:1.3.2-2:amd64:library:to:determine:the:call-chain:of:a:program:-:runtime 1.3.22
